time,temp,setpoint,control
615,29.9795,25000,1
616,29.9797,25000,1
617,29.9799,25000,1
618,29.9801,25000,1
619,29.9803,25000,1
620,29.9805,25000,1
621,29.9807,25000,1
622,29.9809,25000,1
623,29.9811,25000,1
624,29.9813,25000,1
625,29.9815,25000,1
626,29.9817,25000,1
627,29.9818,25000,1
628,29.982,25000,1
629,29.9822,25000,1
630,29.9824,25000,1
631,29.9826,25000,1
632,29.9827,25000,1
633,29.9829,25000,1
634,29.9831,25000,1
635,29.9833,25000,1
636,29.9834,25000,1
637,29.9836,25000,1
638,29.9837,25000,1
639,29.9839,25000,1
640,29.9841,25000,1
641,29.9842,25000,1
642,29.9844,25000,1
643,29.9845,25000,1
644,29.9847,25000,1
645,29.9849,25000,1
646,29.985,25000,1
647,29.9852,25000,1
648,29.9853,25000,1
649,29.9854,25000,1
650,29.9856,25000,1
651,29.9857,25000,1
652,29.9859,25000,1
653,29.986,25000,1
654,29.9862,25000,1
655,29.9863,25000,1
656,29.9864,25000,1
657,29.9866,25000,1
658,29.9867,25000,1
659,29.9868,25000,1
660,29.987,25000,1
661,29.9871,25000,1
662,29.9872,25000,1
663,29.9874,25000,1
664,29.9875,25000,1
665,29.9876,25000,1
666,29.9877,25000,1
667,29.9879,25000,1
668,29.988,25000,1
669,29.9881,25000,1
670,29.9882,25000,1
671,29.9883,25000,1
672,29.9885,25000,1
673,29.9886,25000,1
674,29.9887,25000,1
675,29.9888,25000,1
676,29.9889,25000,1
677,29.989,25000,1
678,29.9891,25000,1
679,29.9892,25000,1
680,29.9893,25000,1
681,29.9895,25000,1
682,29.9896,25000,1
683,29.9897,25000,1
684,29.9898,25000,1
685,29.9899,25000,1
686,29.99,25000,1
687,29.9901,25000,1
688,29.9902,25000,1
689,29.9903,25000,1
690,29.9904,25000,1
691,29.9905,25000,1
692,29.9906,25000,1
693,29.9906,25000,1
694,29.9907,25000,1
695,29.9908,25000,1
696,29.9909,25000,1
697,29.991,25000,1
698,29.9911,25000,1
699,29.9912,25000,1
700,29.9913,25000,1
701,29.9914,25000,1
702,29.9915,25000,1
703,29.9915,25000,1
704,29.9916,25000,1
705,29.9917,25000,1
706,29.9918,25000,1
707,29.9919,25000,1
708,29.992,25000,1
709,29.992,25000,1
710,29.9921,25000,1
711,29.9922,25000,1
712,29.9923,25000,1
713,29.9924,25000,1
714,29.9924,25000,1
715,29.9925,25000,1
716,29.9926,25000,1
717,29.9927,25000,1
718,29.9927,25000,1
719,29.9928,25000,1
720,29.9929,25000,1
721,29.9929,25000,1
722,29.993,25000,1
723,29.9931,25000,1
724,29.9932,25000,1
725,29.9932,25000,1
726,29.9933,25000,1
727,29.9934,25000,1
728,29.9934,25000,1
729,29.9935,25000,1
730,29.9936,25000,1
731,29.9936,25000,1
732,29.9937,25000,1
733,29.9937,25000,1
734,29.9938,25000,1
735,29.9939,25000,1
736,29.9939,25000,1
737,29.994,25000,1
738,29.9941,25000,1
739,29.9941,25000,1
740,29.9942,25000,1
741,29.9942,25000,1
742,29.9943,25000,1
743,29.9943,25000,1
744,29.9944,25000,1
745,29.9945,25000,1
746,29.9945,25000,1
747,29.9946,25000,1
748,29.9946,25000,1
749,29.9947,25000,1
750,29.9947,25000,1
751,29.9948,25000,1
752,29.9948,25000,1
753,29.9949,25000,1
754,29.9949,25000,1
755,29.995,25000,1
756,29.995,25000,1
757,29.9951,25000,1
758,29.9951,25000,1
759,29.9952,25000,1
760,29.9952,25000,1
761,29.9953,25000,1
762,29.9953,25000,1
763,29.9954,25000,1
764,29.9954,25000,1
765,29.9955,25000,1
766,29.9955,25000,1
767,29.9956,25000,1
768,29.9956,25000,1
769,29.9956,25000,1
770,29.9957,25000,1
771,29.9957,25000,1
772,29.9958,25000,1
773,29.9958,25000,1
774,29.9959,25000,1
775,29.9959,25000,1
776,29.9959,25000,1
777,29.996,25000,1
778,29.996,25000,1
779,29.9961,25000,1
780,29.9961,25000,1
781,29.9961,25000,1
782,29.9962,25000,1
783,29.9962,25000,1
784,29.9963,25000,1
785,29.9963,25000,1
786,29.9963,25000,1
787,29.9964,25000,1
788,29.9964,25000,1
789,29.9964,25000,1
790,29.9965,25000,1
791,29.9965,25000,1
792,29.9965,25000,1
793,29.9966,25000,1
794,29.9966,25000,1
795,29.9966,25000,1
796,29.9967,25000,1
797,29.9967,25000,1
798,29.9967,25000,1
799,29.9968,25000,1
800,29.9968,25000,1
801,29.9968,25000,1
802,29.9969,25000,1
803,29.9969,25000,1
804,29.9969,25000,1
805,29.997,25000,1
806,29.997,25000,1
807,29.997,25000,1
808,29.9971,25000,1
809,29.9971,25000,1
810,29.9971,25000,1
811,29.9971,25000,1
812,29.9972,25000,1
813,29.9972,25000,1
814,29.9972,25000,1
